ym,year,month,upi_volume_cr,upi_value_cr,national_gdp,ln_upi_value,ln_upi_volume,ln_gdp,g_upi_value,g_upi_volume,avg_ticket,ln_avg_ticket
2021-07,2021,7,324.78200000000004,605883.2,2472152.7246411773,13.314442507200923,5.783154188032637,14.720599877464075,0.10155646460093237,0.1456824706638571,1865.507324913326,7.531288319168286
2021-08,2021,8,355.555,639116.95,2472152.7246411773,13.36784273695778,5.873679948950378,14.720599877464075,0.05340022975685699,0.09052576091774078,1797.5192304987975,7.494162788007402
2021-09,2021,9,365.43,654648.28,2472152.7246411773,13.391853393294317,5.901074742379977,14.720599877464075,0.02401065633653765,0.027394793429599495,1791.4464603344006,7.49077865091434
2021-10,2021,10,421.864,771406.99,2472152.7246411773,13.55597138616193,6.044682987212785,14.720599877464075,0.16411799286761308,0.14360824483280776,1828.5679508087915,7.511288398949144
2021-11,2021,11,418.648,768436.09,2472152.7246411773,13.552112676498732,6.037030471378788,14.720599877464075,-0.0038587096631985673,-0.0076525158339970645,1835.518359098813,7.515082205119944
2021-12,2021,12,456.63,826848.23,2472152.7246411773,13.62537643842176,6.123873434959685,14.720599877464075,0.07326376192302853,0.08684296358089671,1810.7619516895518,7.5015030034620755
2022-01,2022,1,461.716,831993.09,2757628.1565690013,13.631579414480395,6.134949983450067,14.829881504666826,0.006202976058634846,0.011076548490382088,1801.9585416143257,7.496629431030328
2022-02,2022,2,452.749,826843.02,2757628.1565690013,13.62537013736647,6.115337888036622,14.829881504666826,-0.006209277113924827,-0.019612095413444663,1826.2724379291838,7.510032249329848
2022-03,2022,3,540.5649999999999,960581.67,2757628.1565690013,13.775294286206941,6.292614888868153,14.829881504666826,0.149924148840471,0.17727700083153053,1776.99568044546,7.482679397338788
2022-06,2022,6,586.275,1014412.63,2757628.1565690013,13.829820313297368,6.373788962774504,14.829881504666826,0.054526027090426865,0.08117407390635112,1730.2675877361307,7.456031350522864
2022-07,2022,7,628.8399999999999,1063117.04,2757628.1565690013,13.876715754743856,6.443876852323313,14.829881504666826,0.046895441446487496,0.07008788954880885,1690.6002162712298,7.432838902420544
2022-08,2022,8,657.963,1073162.17,2757628.1565690013,13.886120147191859,6.489148698741255,14.829881504666826,0.009404392448002952,0.04527184641794246,1631.0372619736975,7.396971448450603
2022-09,2022,9,678.08,1116438.09,2757628.1565690013,13.925653898657764,6.519265275079935,14.829881504666826,0.0395337514659051,0.03011657633867948,1646.4695758612554,7.406388623577829
2022-10,2022,10,730.542,1211587.5,2757628.1565690013,14.007442041145717,6.593786724404517,14.829881504666826,0.08178814248795341,0.07452144932458271,1658.4775413323257,7.413655316741199
2022-11,2022,11,730.946,1190593.39,2757628.1565690013,13.989962387863406,6.594339585612123,14.829881504666826,-0.017479653282311602,0.0005528612076055595,1628.8390524060599,7.395622802251282
2022-12,2022,12,782.949,1281970.86,2757628.1565690013,14.063909186095215,6.6630675597698685,14.829881504666826,0.07394679823180894,0.06872797415774556,1637.3618971350627,7.400841626325347
2023-01,2023,1,803.6890000000001,1299058.78,3104297.797437928,14.077150544821434,6.689212378425992,14.948298095579549,0.013241358726219232,0.026144818656123725,1616.3699888887368,7.3879381663954415
2023-02,2023,2,753.476,1235846.58,3104297.797437928,14.027266783081885,6.624697166198966,14.948298095579549,-0.049883761739549115,-0.06451521222702628,1640.1936889827946,7.402569616882919
2023-03,2023,3,868.53,1404950.59,3104297.797437928,14.155512692871815,6.766802127398923,14.948298095579549,0.12824590978993022,0.14210496119995675,1617.6189538645758,7.388710565472891
2023-06,2023,6,933.506,1475464.26,3104297.797437928,14.20448325077424,6.838947390384796,14.948298095579549,0.04897055790242533,0.07214526298587298,1580.5621602860615,7.3655358603894445
2023-07,2023,7,996.426,1533536.44,3104297.797437928,14.243087024888613,6.904174876985762,14.948298095579549,0.03860377411437277,0.06522748660096589,1539.036958088207,7.3389121479028505
2023-08,2023,8,1058.602,1576536.54,3104297.797437928,14.270740935624433,6.964704448709841,14.948298095579549,0.02765391073582002,0.06052957172407947,1489.2627635315255,7.306036486914593
2023-09,2023,9,1055.569,1579133.18,3104297.797437928,14.27238663420283,6.961835237013405,14.948298095579549,0.0016456985783968037,-0.002869211696435947,1496.00185302903,7.310551397189424
2023-10,2023,10,1140.879,1715768.34,3104297.797437928,14.355371549916725,7.039554296911754,14.948298095579549,0.08298491571389555,0.0777190598983486,1503.900361037411,7.315817253004971
2023-11,2023,11,1123.529,1739740.61,3104297.797437928,14.369246585365328,7.024229903486291,14.948298095579549,0.013875035448602802,-0.015324393425462546,1548.4607962945327,7.345016681879037
2023-12,2023,12,1202.023,1822949.45,3104297.797437928,14.415966324258243,7.09176124968746,14.948298095579549,0.046719738892914364,0.06753134620116885,1516.5678610143068,7.324205074570782
2024-01,2024,1,1220.302,1841083.97,3303118.904427187,14.425865070255995,7.106853648077695,15.010377702643295,0.0098987459977522,0.015092398390234685,1508.7117533200799,7.319011422178301
2024-02,2024,2,1210.267,1827869.35,3303118.904427187,14.41866155688841,7.098596275405719,15.010377702643295,-0.007203513367585401,-0.00825737267197546,1510.3025613356392,7.320065281482689
2024-03,2024,3,1344.0,1978353.23,3303118.904427187,14.4977753545945,7.203405521083095,15.010377702643295,0.07911379770609095,0.1048092456773757,1471.9890104166666,7.294369833511405
2024-06,2024,6,1388.514,2007081.2,3303118.904427187,14.512192085355672,7.235989389519213,15.010377702643295,0.014416730761171337,0.03258386843611838,1445.4886302910882,7.276202695836458
2024-07,2024,7,1443.5549999999998,2064292.41,3303118.904427187,14.540298067060757,7.274864100212949,15.010377702643295,0.02810598170508527,0.038874710693735715,1430.0060683520892,7.265433966847809
2024-08,2024,8,1496.3049999999998,2060735.57,3303118.904427187,14.538573549845971,7.310754014759678,15.010377702643295,-0.0017245172147859478,0.035889914546729074,1377.2162560440554,7.227819535086294
2024-09,2024,9,1504.175,2063994.71,3303118.904427187,14.54015384259581,7.315999854123885,15.010377702643295,0.001580292749839174,0.005245839364206972,1372.1772466634534,7.224153988471925
2024-10,2024,10,1658.497,2349821.46,3303118.904427187,14.66984990876605,7.41366704952204,15.010377702643295,0.12969606617024,0.09766719539815494,1416.8379321759398,7.25618285924401
2024-11,2024,11,1548.202,2155187.41,3303118.904427187,14.583388242935948,7.34484953659254,15.010377702643295,-0.08646166583010206,-0.06881751292949989,1392.0582779249737,7.238538706343407
2024-12,2024,12,1673.0009999999995,2324699.94,3303118.904427187,14.65910153061037,7.422374298715276,15.010377702643295,0.07571328767442154,0.07752476212273596,1389.5388825230832,7.236727231895093
2025-01,2025,1,1699.601,2348037.11,1642480.909786486,14.669090264745602,7.438148796614218,14.311718406616729,0.009988734135232491,0.01577449789894203,1381.522551469433,7.230941468131384
2025-02,2025,2,1610.619,2196481.7,1642480.909786486,14.602367410926888,7.384373856137758,14.311718406616729,-0.0667228538187139,-0.05377494047646003,1363.7500240590732,7.217993554789131
2025-03,2025,3,1830.151,2477221.59,1642480.909786486,14.722648163493288,7.512153756092604,14.311718406616729,0.12028075256639958,0.12777989995484607,1353.5613127004274,7.2104944074006845
2025-04,2025,4,1789.342,2394925.87,1642480.909786486,14.688862836364832,7.4896032334888165,14.311718406616729,-0.03378532712845583,-0.02255052260378765,1338.439420747962,7.1992596028760145
2025-05,2025,5,1867.745,2514297.01,1642480.909786486,14.737503803556612,7.532487099834525,14.311718406616729,0.048640967191779794,0.04288386634570873,1346.1671748552399,7.2050167037220865
2025-06,2025,6,1839.501,2403930.69,1642480.909786486,14.692615743106803,7.517249618170666,14.311718406616729,-0.044888060449808975,-0.015237481663858965,1306.8384795659258,7.175366124936136
2025-07,2025,7,1946.795,2508498.1,1642480.909786486,14.735194765481403,7.573939709638762,14.311718406616729,0.04257902237459987,0.05669009146809589,1288.5270919639715,7.1612550558426395
2025-08,2025,8,2000.831,2485472.9,1642480.909786486,14.725973501218638,7.60131787324586,14.311718406616729,-0.009221264262764706,0.027378163607098216,1242.2203074622494,7.124655627972778
2025-09,2025,9,1963.343,2489736.52,1642480.909786486,14.727687447581017,7.582403911564723,14.311718406616729,0.001713946362379204,-0.018913961681137792,1268.1108293354753,7.145283536016294
2025-10,2025,10,2070.092,2727790.71,1642480.909786486,14.81900257579421,7.635348329716234,14.311718406616729,0.09131512821319276,0.05294441815151174,1317.7147247561943,7.1836542460779755
2025-11,2025,11,2046.698,2631632.64,1642480.909786486,14.783114987217838,7.623983041802144,14.311718406616729,-0.03588758857637231,-0.011365287914090416,1285.7943086864793,7.159131945415693
2025-12,2025,12,782.354,1111937.24,1642480.909786486,13.921614313351013,6.662307323536172,14.311718406616729,-0.8615006738668249,-0.9616757182659716,1421.2712403847875,7.25930698981484
